Zone,shape id,point id,longitude,latitude
Zone 52,4,6,-80.1670834,26.26178495
Zone 52,4,7,-80.16618218,26.2582827
Zone 52,4,8,-80.16592469,26.25401058
Zone 52,4,9,-80.16583886,26.25135486
Zone 52,4,10,-80.16459431,26.24869907
Zone 52,4,11,-80.15184846,26.24881454
Zone 52,4,12,-80.15179154,26.24341954
Zone 52,4,13,-80.14243599,26.23772261
Zone 52,4,14,-80.14822471,26.2107894
Zone 52,4,15,-80.17335571,26.20987532
Zone 52,4,16,-80.18082297,26.20898975
Zone 52,4,17,-80.18820441,26.20968281
Zone 52,4,18,-80.1912514,26.20945179
Zone 52,4,19,-80.19163764,26.21079939
Zone 52,4,20,-80.19494212,26.21087639
Zone 52,4,21,-80.17829461,26.23021884
Zone 52,4,22,-80.17065568,26.23922659
Zone 52,4,23,-80.1667933,26.24746384
Zone 52,4,24,-80.16655353,26.25187217
Zone 52,4,25,-80.16724018,26.25887696
Zone 52,4,26,-80.16852764,26.26349526
Zone 63,5,0,-80.1477691,26.21086084
Zone 63,5,1,-80.14416421,26.21070683
Zone 63,5,2,-80.13918603,26.20916672
Zone 63,5,3,-80.13755525,26.20862767
Zone 63,5,4,-80.134637,26.20608643
Zone 63,5,5,-80.13025964,26.20608643
Zone 63,5,6,-80.1248523,26.20762658
Zone 63,5,7,-80.12244904,26.20839665
Zone 63,5,8,-80.12021745,26.20932073
Zone 63,5,9,-80.11987412,26.21109186
Zone 63,5,10,-80.11026109,26.21147688
Zone 63,5,11,-80.11050503,26.21531817
Zone 63,5,12,-80.10938923,26.21543368
Zone 63,5,13,-80.10956089,26.21755121
Zone 63,5,14,-80.10629933,26.21770522
Zone 63,5,15,-80.10690014,26.2239421
Zone 63,5,16,-80.11200707,26.22629046
Zone 63,5,17,-80.11229341,26.2324372
Zone 63,5,18,-80.1131088,26.2324372
Zone 63,5,19,-80.11323075,26.23314691
Zone 63,5,20,-80.11681418,26.23303143
Zone 63,5,21,-80.11681418,26.2370926
Zone 63,5,22,-80.13640519,26.23667424
Zone 63,5,23,-80.13631936,26.23409511
Zone 63,5,24,-80.14234221,26.23769433
Zone 63,5,25,-80.14435923,26.22845548
Zone 12C,6,0,-80.10020664,26.20598199
Zone 12C,6,1,-80.09248188,26.20505788
Zone 12C,6,2,-80.0941985,26.19735673
Zone 12C,6,3,-80.10157993,26.19812687
